Location,botottop,x,y,angle,BLOCK
C409,2,203.5,12.62,270,
C410,2,40,32,270,
C410,2,164.5,32,270,
C411,2,101.25,56.62,90,
C411,2,225.75,56.62,90,
C501,2,52.62,92.12,180,
C501,2,177.12,92.12,180,
C503,2,36,20.5,90,
C503,2,160.5,20.5,90,
C504,2,113.75,54.75,90,
C504,2,238.25,54.75,90,
C505,2,107.12,59.5,0,
C505,2,231.62,59.5,0,
C507,2,26.37,124.62,180,
C507,2,150.87,124.62,180,
C509,2,26,21.75,180,
C509,2,150.5,21.75,180,
C510,2,43.5,85.25,180,
C510,2,168,85.25,180,
C512,2,29.62,48.25,180,
C512,2,154.12,48.25,180,
C513,2,43.25,109.25,0,
C513,2,167.75,109.25,0,
C515,2,45.62,109.5,180,
C515,2,170.12,109.5,180,
C516,2,22.87,122.87,0,
C516,2,147.37,122.87,0,
C517,2,32.75,61,90,
C517,2,157.25,61,90,
C518,2,48.12,94,0,
C518,2,172.62,94,0,
C519,2,114,51,270,
C519,2,238.5,51,270,
C520,2,48.12,93,0,
C520,2,172.62,93,0,
C521,2,45.75,52.87,0,
C521,2,170.25,52.87,0,
C522,2,51.25,119.75,180,
C522,2,175.75,119.75,180,
C524,2,98.5,10.87,270,
C524,2,223,10.87,270,
C525,2,34.25,59.12,90,
C525,2,158.75,59.12,90,
C526,2,63.12,51.37,0,
C526,2,187.62,51.37,0,
C527,2,105,56.25,90,
C527,2,229.5,56.25,90,
C528,2,59.87,52.37,180,
C528,2,184.37,52.37,180,
C529,2,48.37,25.37,0,
C529,2,172.87,25.37,0,
C603,2,31.5,10.75,90,
C603,2,156,10.75,90,
C604,2,33,14.37,180,
C604,2,157.5,14.37,180,
C606,2,14.5,17.5,0,
C606,2,139,17.5,0,
C607,2,24.37,25.37,180,
C607,2,148.87,25.37,180,
C608,2,29.5,50.62,0,
C608,2,154,50.62,0,
C609,2,38.62,11.75,270,
C609,2,163.12,11.75,270,
C610,2,35.5,11.75,270,
C610,2,160,11.75,270,
C612,2,27,47.87,0,
C612,2,151.5,47.87,0,
C630,2,14,19.75,270,
C630,2,138.5,19.75,270,
C631,2,12,23.12,0,
C631,2,136.5,23.12,0,
C701,2,104.5,21.12,270,
C701,2,229,21.12,270,
C703,2,93.7,45.62,270,
C703,2,218.2,45.62,270,
C704,2,90.25,48.5,270,
C704,2,214.75,48.5,270,
C706,2,104.5,18.62,270,
C706,2,229,18.62,270,
C707,2,91.75,34.1,270,
C707,2,216.25,34.1,270,
C708,2,94.37,34.1,270,
C708,2,218.87,34.1,270,
C710,2,98.62,34.1,270,
C710,2,223.12,34.1,270,
C712,2,101.37,34.1,270,
C712,2,225.87,34.1,270,
C713,2,102.25,16.25,90,
C713,2,226.75,16.25,90,
C800,2,48.5,99.12,180,
C800,2,173,99.12,180,
CP101,2,23.37,91.37,0,
CP101,2,147.87,91.37,0,
CP102,2,23.37,89.25,0,
CP102,2,147.87,89.25,0,
CP103,2,26,86.12,0,
CP103,2,150.5,86.12,0,
CP105,2,39.5,42,180,
CP105,2,164,42,180,
CP106,2,40.5,43.62,180,
CP106,2,165,43.62,180,
CP109,2,34.12,57,180,
CP109,2,158.62,57,180,
CP201,2,43,130.25,0,
CP201,2,167.5,130.25,0,
CP202,2,35,129.62,0,
CP202,2,159.5,129.62,0,
CP204,2,35.87,16.37,180,
CP204,2,160.37,16.37,180,
CP205,2,26.62,19.87,180,
CP205,2,151.12,19.87,180,
CP206,2,38.99,131.14,0,
CP206,2,163.49,131.14,0,
CP207,2,47.15,115.17,0,
CP207,2,171.65,115.17,0,
CP208,2,48.56,113.2,0,
CP208,2,173.06,113.2,0,
CP301,2,13.62,61.37,180,
CP301,2,138.12,61.37,180,
CP302,2,70.5,66.62,180,
CP302,2,195,66.62,180,
CP303,2,112,64.12,180,
CP303,2,236.5,64.12,180,
CP701,2,76.12,22.25,180,
CP701,2,200.62,22.25,180,
CP702,2,77.75,21.12,180,
CP702,2,202.25,21.12,180,
CP704,2,101.12,18.12,180,
CP704,2,225.62,18.12,180,
CP705,2,74.5,21,180,
CP705,2,199,21,180,
CP706,2,75.87,24.25,180,
CP706,2,200.37,24.25,180,
CP707,2,77.75,23.62,180,
CP707,2,202.25,23.62,180,
CP708,2,110.87,19.12,180,
CP708,2,235.37,19.12,180,
CP709,2,110.37,16.5,180,
CP709,2,234.87,16.5,180,
CP710,2,64.62,89.75,0,
CP710,2,189.12,89.75,0,
CP711,2,104.12,13.87,180,
CP711,2,228.62,13.87,180,
D401,2,112.25,12.37,270,
D401,2,236.75,12.37,270,
D402,2,96.12,58.5,270,
D402,2,220.62,58.5,270,
D406,2,99.25,57.12,270,
D406,2,223.75,57.12,270,
D407,2,84.25,54.87,270,
D407,2,208.75,54.87,270,
D408,2,14.12,27.5,270,
D408,2,138.62,27.5,270,
D420,2,92,58.5,270,
D420,2,216.5,58.5,270,
D501,2,116.87,58.25,270,
D501,2,241.37,58.25,270,
DA501,2,109,52.37,90,
DA501,2,233.5,52.37,90,
ETH301,2,80,76.37,0,
ETH301,2,204.5,76.37,0,
ETH302,2,112,65.12,180,
ETH302,2,236.5,65.12,180,
FU302,2,69.9,129,90,
FU302,2,194.4,129,90,
FU501,2,105.37,47.75,90,
FU501,2,229.87,47.75,90,
