Location,top_bot,x,y,Theta
ITP77,2,237.9,164.4,0
ITP77,2,237.9,68.9,0
ITP78,2,31.75,26.75,0
ITP78,2,31.75,122.25,0
ITP78,2,180.25,122.25,0
ITP78,2,180.25,26.75,0
ITP79,2,92.6,53.5,0
ITP79,2,92.6,149,0
ITP79,2,241.1,149,0
ITP79,2,241.1,53.5,0
ITP80,2,29.25,21,0
ITP80,2,29.25,116.5,0
ITP80,2,177.75,116.5,0
ITP80,2,177.75,21,0
ITP81,2,93,6.25,0
ITP81,2,93,101.75,0
ITP81,2,241.5,101.75,0
ITP81,2,241.5,6.25,0
ITP82,2,104.6,71.2,270
ITP82,2,104.6,166.7,270
ITP82,2,253.1,166.7,270
ITP82,2,253.1,71.2,270
ITP83,2,113.3,55.4,270
ITP83,2,113.3,150.9,270
ITP83,2,261.8,150.9,270
ITP83,2,261.8,55.4,270
ITP84,2,36.25,54.62,0
ITP84,2,36.25,150.12,0
ITP84,2,184.75,150.12,0
ITP84,2,184.75,54.62,0
ITP85,2,107.4,61.2,270
ITP85,2,107.4,156.7,270
ITP85,2,255.9,156.7,270
ITP85,2,255.9,61.2,270
ITP86,2,115.9,57.1,270
ITP86,2,115.9,152.6,270
ITP86,2,264.4,152.6,270
ITP86,2,264.4,57.1,270
ITP87,2,24.87,26.62,0
ITP87,2,24.87,122.12,0
ITP87,2,173.37,122.12,0
ITP87,2,173.37,26.62,0
ITP88,2,121.7,58.5,0
ITP88,2,121.7,154,0
ITP88,2,270.2,154,0
ITP88,2,270.2,58.5,0
ITP89,2,24.87,23.12,0
ITP89,2,24.87,118.62,0
ITP89,2,173.37,118.62,0
ITP89,2,173.37,23.12,0
ITP90,2,125,63.3,0
ITP90,2,125,158.8,0
ITP90,2,273.5,158.8,0
ITP90,2,273.5,63.3,0
ITP91,2,19.87,26.75,0
ITP91,2,19.87,122.25,0
ITP91,2,168.37,122.25,0
ITP91,2,168.37,26.75,0
ITP92,2,30.62,80.12,0
ITP92,2,30.62,175.62,0
ITP92,2,179.12,175.62,0
ITP92,2,179.12,80.12,0
ITP93,2,22.25,56.7,0
ITP93,2,22.25,152.2,0
ITP93,2,170.75,152.2,0
ITP93,2,170.75,56.7,0
ITP94,2,80.25,12.62,0
ITP94,2,80.25,108.12,0
ITP94,2,228.75,108.12,0
ITP94,2,228.75,12.62,0
Q201,2,131.5,81.6,270
Q201,2,131.5,177.1,270
Q201,2,280,177.1,270
Q201,2,280,81.6,270
Q202,2,118.8,82.7,270
Q202,2,118.8,178.2,270
Q202,2,267.3,178.2,270
Q202,2,267.3,82.7,270
Q211,2,109.2,69.7,270
Q211,2,109.2,165.2,270
Q211,2,257.7,165.2,270
Q211,2,257.7,69.7,270
Q212,2,108.2,57.3,90
Q212,2,108.2,152.8,90
Q212,2,256.7,152.8,90
Q212,2,256.7,57.3,90
Q213,2,112.5,59.3,270
Q213,2,112.5,154.8,270
Q213,2,261,154.8,270
Q213,2,261,59.3,270
Q572,2,138.8,58.2,270
Q572,2,138.8,153.7,270
Q572,2,287.3,153.7,270
Q572,2,287.3,58.2,270
Q573,2,131.9,56.2,270
Q573,2,131.9,151.7,270
Q573,2,280.4,151.7,270
Q573,2,280.4,56.2,270
Q602,2,69.5,40.37,270
Q602,2,69.5,135.87,270
Q602,2,218,135.87,270
Q602,2,218,40.37,270
Q604,2,66.67,19.2,270
